instance,method,seed,iters,top_k,C1,C2,C3,runtime_sec
instance5.json,local,1,1200,3,154,116,-13,0.24508
instance5.json,local,2,1200,3,154,121,-10,0.242551
instance5.json,local,3,1200,3,154,123,-12,0.244915
instance5.json,local,4,1200,3,154,116,-9,0.24874
instance5.json,local,5,1200,3,154,121,-14,0.242032
instance5.json,local,6,1200,3,154,120,-12,0.249476
instance5.json,local,7,1200,3,154,121,-13,0.247008
instance5.json,local,8,1200,3,154,119,-14,0.251268
instance5.json,local,9,1200,3,154,126,-16,0.24115
instance5.json,local,10,1200,3,154,112,-11,0.242212
instance5.json,no_local,1,0,3,154,108,-13,0.001169
instance5.json,no_local,2,0,3,152,120,-10,0.001108
instance5.json,no_local,3,0,3,153,116,-12,0.000866
instance5.json,no_local,4,0,3,153,108,-9,0.000987
instance5.json,no_local,5,0,3,150,116,-14,0.000988
instance5.json,no_local,6,0,3,153,112,-12,0.00096
instance5.json,no_local,7,0,3,154,115,-13,0.000941
instance5.json,no_local,8,0,3,153,112,-14,0.000872
instance5.json,no_local,9,0,3,154,121,-16,0.000848
instance5.json,no_local,10,0,3,154,105,-11,0.000857
instance6.json,local,1,1200,3,157,125,-9,0.245794
instance6.json,local,2,1200,3,157,126,-9,0.253148
instance6.json,local,3,1200,3,157,121,-9,0.25325
instance6.json,local,4,1200,3,157,131,-7,0.259531
instance6.json,local,5,1200,3,157,124,-11,0.256822
instance6.json,local,6,1200,3,157,116,-10,0.248763
instance6.json,local,7,1200,3,157,129,-12,0.244505
instance6.json,local,8,1200,3,157,111,-9,0.254479
instance6.json,local,9,1200,3,157,122,-12,0.24337
instance6.json,local,10,1200,3,157,108,-11,0.250968
instance6.json,no_local,1,0,3,156,121,-9,0.001088
instance6.json,no_local,2,0,3,157,121,-9,0.001004
instance6.json,no_local,3,0,3,155,109,-9,0.000894
instance6.json,no_local,4,0,3,156,120,-7,0.000921
instance6.json,no_local,5,0,3,155,118,-11,0.000887
instance6.json,no_local,6,0,3,157,103,-10,0.000882
instance6.json,no_local,7,0,3,154,126,-12,0.000947
instance6.json,no_local,8,0,3,155,103,-9,0.000885
instance6.json,no_local,9,0,3,155,116,-12,0.000888
instance6.json,no_local,10,0,3,155,101,-11,0.00093
instance7.json,local,1,1200,3,194,122,-3,0.348068
instance7.json,local,2,1200,3,194,135,-3,0.346097
instance7.json,local,3,1200,3,194,131,-2,0.345253
instance7.json,local,4,1200,3,194,137,-3,0.339925
instance7.json,local,5,1200,3,194,138,-2,0.342323
instance7.json,local,6,1200,3,193,130,-3,0.336489
instance7.json,local,7,1200,3,194,132,-2,0.344234
instance7.json,local,8,1200,3,194,129,-1,0.339402
instance7.json,local,9,1200,3,193,133,-2,0.336121
instance7.json,local,10,1200,3,194,125,-3,0.343712
instance7.json,no_local,1,0,3,191,111,-3,0.001201
instance7.json,no_local,2,0,3,191,118,-3,0.001413
instance7.json,no_local,3,0,3,188,123,-2,0.001215
instance7.json,no_local,4,0,3,188,132,-3,0.001204
instance7.json,no_local,5,0,3,193,120,-2,0.001461
instance7.json,no_local,6,0,3,190,121,-3,0.001332
instance7.json,no_local,7,0,3,190,122,-2,0.00122
instance7.json,no_local,8,0,3,191,116,-1,0.001406
instance7.json,no_local,9,0,3,190,122,-2,0.001435
instance7.json,no_local,10,0,3,192,114,-3,0.001218
instance8.json,local,1,1200,3,183,137,-5,0.323939
instance8.json,local,2,1200,3,183,127,-8,0.330914
instance8.json,local,3,1200,3,183,122,-6,0.327766
instance8.json,local,4,1200,3,183,128,-6,0.337403
instance8.json,local,5,1200,3,183,143,-7,0.330291
instance8.json,local,6,1200,3,183,135,-5,0.327791
instance8.json,local,7,1200,3,183,127,-6,0.331469
instance8.json,local,8,1200,3,183,129,-7,0.323206
instance8.json,local,9,1200,3,183,131,-8,0.330293
instance8.json,local,10,1200,3,183,131,-5,0.332099
instance8.json,no_local,1,0,3,182,121,-5,0.00114
instance8.json,no_local,2,0,3,182,110,-8,0.001146
instance8.json,no_local,3,0,3,181,109,-6,0.001331
instance8.json,no_local,4,0,3,181,120,-6,0.00111
instance8.json,no_local,5,0,3,183,133,-7,0.001139
