Group,MeetingDay
G0,V
G1,J
G2,Ma
G3,Mi
G4,Mi
G5,L
G6,Mi
G7,V
G8,L
G9,Mi
G10,Ma
G11,V
G12,Ma
G13,L
G14,L
G15,J
G16,Mi
G17,Ma
